Entity,Continent,Latitude,Longitude,Average temperature per year,Hospital beds per 1000 people,Medical doctors per 1000 people,GDP/Capita,Population,Median age,Population aged 65 and over (%),Date,Daily tests,Cases,Deaths,Daily Cases,Positivity Rate
Greece,Europe,39.07,21.82,17,4.21,6.26,19582.5,10760421,45,22,2020-02-26,0,1,0,0.0,0.0
Greece,Europe,39.07,21.82,17,4.21,6.26,19582.5,10760421,45,22,2020-02-27,0,3,0,2.0,0.0
Greece,Europe,39.07,21.82,17,4.21,6.26,19582.5,10760421,45,22,2020-02-28,0,4,0,1.0,0.0
Greece,Europe,39.07,21.82,17,4.21,6.26,19582.5,10760421,45,22,2020-02-29,0,4,0,0.0,0.0
Greece,Europe,39.07,21.82,17,4.21,6.26,19582.5,10760421,45,22,2020-03-01,0,7,0,3.0,0.0
Greece,Europe,39.07,21.82,17,4.21,6.26,19582.5,10760421,45,22,2020-03-02,0,7,0,0.0,0.0
Greece,Europe,39.07,21.82,17,4.21,6.26,19582.5,10760421,45,22,2020-03-03,0,7,0,0.0,0.0
Greece,Europe,39.07,21.82,17,4.21,6.26,19582.5,10760421,45,22,2020-03-04,0,9,0,2.0,0.0
Greece,Europe,39.07,21.82,17,4.21,6.26,19582.5,10760421,45,22,2020-03-05,0,31,0,22.0,0.0
Greece,Europe,39.07,21.82,17,4.21,6.26,19582.5,10760421,45,22,2020-03-06,0,45,0,14.0,0.0
Greece,Europe,39.07,21.82,17,4.21,6.26,19582.5,10760421,45,22,2020-03-07,0,46,0,1.0,0.0
Greece,Europe,39.07,21.82,17,4.21,6.26,19582.5,10760421,45,22,2020-03-08,0,73,0,27.0,0.0
Greece,Europe,39.07,21.82,17,4.21,6.26,19582.5,10760421,45,22,2020-03-09,0,73,0,0.0,0.0
Greece,Europe,39.07,21.82,17,4.21,6.26,19582.5,10760421,45,22,2020-03-10,0,89,0,16.0,0.0
Greece,Europe,39.07,21.82,17,4.21,6.26,19582.5,10760421,45,22,2020-03-11,0,99,1,10.0,0.0
Greece,Europe,39.07,21.82,17,4.21,6.26,19582.5,10760421,45,22,2020-03-12,0,99,1,0.0,0.0
Greece,Europe,39.07,21.82,17,4.21,6.26,19582.5,10760421,45,22,2020-03-13,520,190,1,91.0,0.175
Greece,Europe,39.07,21.82,17,4.21,6.26,19582.5,10760421,45,22,2020-03-14,700,228,3,38.0,0.054285714285714284
Greece,Europe,39.07,21.82,17,4.21,6.26,19582.5,10760421,45,22,2020-03-15,600,331,4,103.0,0.17166666666666666
Greece,Europe,39.07,21.82,17,4.21,6.26,19582.5,10760421,45,22,2020-03-16,320,331,4,0.0,0.0
Greece,Europe,39.07,21.82,17,4.21,6.26,19582.5,10760421,45,22,2020-03-17,388,387,5,56.0,0.14432989690721648
Greece,Europe,39.07,21.82,17,4.21,6.26,19582.5,10760421,45,22,2020-03-18,455,418,5,31.0,0.06813186813186813
Greece,Europe,39.07,21.82,17,4.21,6.26,19582.5,10760421,45,22,2020-03-19,523,418,6,0.0,0.0
Greece,Europe,39.07,21.82,17,4.21,6.26,19582.5,10760421,45,22,2020-03-20,590,495,6,77.0,0.13050847457627118
Greece,Europe,39.07,21.82,17,4.21,6.26,19582.5,10760421,45,22,2020-03-21,658,530,13,35.0,0.05319148936170213
Greece,Europe,39.07,21.82,17,4.21,6.26,19582.5,10760421,45,22,2020-03-22,176,624,15,94.0,0.5340909090909091
Greece,Europe,39.07,21.82,17,4.21,6.26,19582.5,10760421,45,22,2020-03-23,638,695,17,71.0,0.11128526645768025
Greece,Europe,39.07,21.82,17,4.21,6.26,19582.5,10760421,45,22,2020-03-24,427,743,20,48.0,0.11241217798594848
Greece,Europe,39.07,21.82,17,4.21,6.26,19582.5,10760421,45,22,2020-03-25,1424,821,22,78.0,0.054775280898876406
Greece,Europe,39.07,21.82,17,4.21,6.26,19582.5,10760421,45,22,2020-03-26,1245,892,26,71.0,0.0570281124497992
Greece,Europe,39.07,21.82,17,4.21,6.26,19582.5,10760421,45,22,2020-03-27,1065,966,28,74.0,0.06948356807511737
Greece,Europe,39.07,21.82,17,4.21,6.26,19582.5,10760421,45,22,2020-03-28,886,1061,32,95.0,0.1072234762979684
Greece,Europe,39.07,21.82,17,4.21,6.26,19582.5,10760421,45,22,2020-03-29,788,1156,38,95.0,0.12055837563451777
Greece,Europe,39.07,21.82,17,4.21,6.26,19582.5,10760421,45,22,2020-03-30,810,1212,43,56.0,0.0691358024691358
Greece,Europe,39.07,21.82,17,4.21,6.26,19582.5,10760421,45,22,2020-03-31,771,1314,49,102.0,0.13229571984435798
Greece,Europe,39.07,21.82,17,4.21,6.26,19582.5,10760421,45,22,2020-04-01,618,1415,50,101.0,0.1634304207119741
Greece,Europe,39.07,21.82,17,4.21,6.26,19582.5,10760421,45,22,2020-04-02,1494,1544,53,129.0,0.08634538152610442
Greece,Europe,39.07,21.82,17,4.21,6.26,19582.5,10760421,45,22,2020-04-03,3593,1613,63,69.0,0.0192040077929307
Greece,Europe,39.07,21.82,17,4.21,6.26,19582.5,10760421,45,22,2020-04-04,896,1673,68,60.0,0.06696428571428571
Greece,Europe,39.07,21.82,17,4.21,6.26,19582.5,10760421,45,22,2020-04-05,2120,1735,73,62.0,0.029245283018867925
Greece,Europe,39.07,21.82,17,4.21,6.26,19582.5,10760421,45,22,2020-04-06,740,1755,79,20.0,0.02702702702702703
Greece,Europe,39.07,21.82,17,4.21,6.26,19582.5,10760421,45,22,2020-04-07,2391,1832,81,77.0,0.03220409870347135
Greece,Europe,39.07,21.82,17,4.21,6.26,19582.5,10760421,45,22,2020-04-08,3944,1884,83,52.0,0.013184584178498986
Greece,Europe,39.07,21.82,17,4.21,6.26,19582.5,10760421,45,22,2020-04-09,1106,1955,87,71.0,0.06419529837251356
Greece,Europe,39.07,21.82,17,4.21,6.26,19582.5,10760421,45,22,2020-04-10,1798,2011,92,56.0,0.03114571746384872
Greece,Europe,39.07,21.82,17,4.21,6.26,19582.5,10760421,45,22,2020-04-11,1912,2081,93,70.0,0.036610878661087864
Greece,Europe,39.07,21.82,17,4.21,6.26,19582.5,10760421,45,22,2020-04-12,4917,2114,98,33.0,0.006711409395973154
Greece,Europe,39.07,21.82,17,4.21,6.26,19582.5,10760421,45,22,2020-04-13,1170,2145,99,31.0,0.026495726495726495
Greece,Europe,39.07,21.82,17,4.21,6.26,19582.5,10760421,45,22,2020-04-14,1447,2170,101,25.0,0.017277125086385625
Greece,Europe,39.07,21.82,17,4.21,6.26,19582.5,10760421,45,22,2020-04-15,1724,2192,102,22.0,0.012761020881670533
Greece,Europe,39.07,21.82,17,4.21,6.26,19582.5,10760421,45,22,2020-04-16,2001,2207,105,15.0,0.0074962518740629685
Greece,Europe,39.07,21.82,17,4.21,6.26,19582.5,10760421,45,22,2020-04-17,2255,2224,108,17.0,0.00753880266075388
Greece,Europe,39.07,21.82,17,4.21,6.26,19582.5,10760421,45,22,2020-04-18,1645,2235,110,11.0,0.006686930091185411
Greece,Europe,39.07,21.82,17,4.21,6.26,19582.5,10760421,45,22,2020-04-19,1537,2235,113,0.0,0.0
Greece,Europe,39.07,21.82,17,4.21,6.26,19582.5,10760421,45,22,2020-04-20,1430,2245,116,10.0,0.006993006993006993
Greece,Europe,39.07,21.82,17,4.21,6.26,19582.5,10760421,45,22,2020-04-21,1322,2401,121,156.0,0.11800302571860817
Greece,Europe,39.07,21.82,17,4.21,6.26,19582.5,10760421,45,22,2020-04-22,1326,2408,121,7.0,0.005279034690799397
Greece,Europe,39.07,21.82,17,4.21,6.26,19582.5,10760421,45,22,2020-04-23,2249,2463,125,55.0,0.024455313472654512
Greece,Europe,39.07,21.82,17,4.21,6.26,19582.5,10760421,45,22,2020-04-24,2166,2490,130,27.0,0.012465373961218837
Greece,Europe,39.07,21.82,17,4.21,6.26,19582.5,10760421,45,22,2020-04-25,1680,2506,130,16.0,0.009523809523809525
Greece,Europe,39.07,21.82,17,4.21,6.26,19582.5,10760421,45,22,2020-04-26,1521,2517,134,11.0,0.007232084155161078
Greece,Europe,39.07,21.82,17,4.21,6.26,19582.5,10760421,45,22,2020-04-27,1486,2534,136,17.0,0.011440107671601614
Greece,Europe,39.07,21.82,17,4.21,6.26,19582.5,10760421,45,22,2020-04-28,3739,2566,138,32.0,0.008558438085049478
Greece,Europe,39.07,21.82,17,4.21,6.26,19582.5,10760421,45,22,2020-04-29,2297,2576,139,10.0,0.0043535045711798
Greece,Europe,39.07,21.82,17,4.21,6.26,19582.5,10760421,45,22,2020-04-30,3040,2591,140,15.0,0.004934210526315789
Greece,Europe,39.07,21.82,17,4.21,6.26,19582.5,10760421,45,22,2020-05-01,2081,2612,140,21.0,0.010091302258529554
Greece,Europe,39.07,21.82,17,4.21,6.26,19582.5,10760421,45,22,2020-05-02,956,2620,143,8.0,0.008368200836820083
Greece,Europe,39.07,21.82,17,4.21,6.26,19582.5,10760421,45,22,2020-05-03,1125,2626,144,6.0,0.005333333333333333
Greece,Europe,39.07,21.82,17,4.21,6.26,19582.5,10760421,45,22,2020-05-04,1619,2632,146,6.0,0.0037059913526868438
Greece,Europe,39.07,21.82,17,4.21,6.26,19582.5,10760421,45,22,2020-05-05,2799,2642,146,10.0,0.0035727045373347625
