Entity,Cases,Deaths,Daily tests,Population,GDP/Capita,Hospital beds per 1000 people,Medical doctors per 1000 people,Cases per Capita,Deaths per Capita,Tests per Capita,Positivity Rate,Death Rate,Cluster
Albania,8426482,171892,452091,2873457,5353.2,2.89,1.29,2.9325241338220827,0.059820627209664176,0.15733348367489056,18.638906768770003,0.02039902298491826,0
Algeria,16892357,547843,709050,41318142,3974.0,1.9,1.83,0.4088363169863737,0.013259139290435663,0.017160742610352615,23.82392920104365,0.03243141262051234,2
Argentina,260382731,6622663,6249927,44271041,9912.3,5.0,3.91,5.881558804998509,0.14959356840061655,0.14117415942399006,41.661723568931286,0.025434340344175896,0
Armenia,24370297,428678,653902,2930450,4622.7,4.2,2.8,8.31623027180126,0.14628401781296388,0.22314047330614753,37.26903572706613,0.01759018365676873,0
Australia,6789426,186575,14132293,24598933,55060.3,3.84,3.5,0.2760048982612376,0.007584678571220955,0.5745083740014252,0.4804192780322344,0.027480231760387403,2
Austria,46441969,803908,15109401,8809212,50137.7,7.37,5.23,5.271977675188201,0.0912576516492054,1.7151819027626989,3.073713445026709,0.017309946527030325,3
Bahrain,19117446,69819,3359563,1492584,23504.0,2.0,0.92,12.808288176745831,0.04677726680709427,2.2508368038247766,5.690456169448229,0.0036521091781820648,3
Bangladesh,100266545,1444745,4052963,164669751,1855.7,0.8,0.47,0.6088947386578607,0.008773590724625557,0.024612674613202032,24.739072377418694,0.014409043415228879,2
Belarus,34859695,273249,2925121,9507875,6663.3,11.0,4.07,3.666402324388993,0.028739229323061145,0.3076524459987116,11.917351453153563,0.00783853673992271,2
Belgium,95549299,4169270,9533236,11372068,46420.7,5.64,3.01,8.402104085202446,0.366623731057535,0.8383027607643571,10.022756071495555,0.043634752359616995,4
Bhutan,102917,52,537180,807610,3316.2,1.7,0.38,0.12743403375391588,6.438751377521328e-05,0.6651477817263283,0.1915875497970885,0.0005052615214201735,2
Bolivia,35010589,1846929,733566,11051600,3552.1,1.1,0.47,3.1679203916175034,0.1671186977451229,0.06637645227840312,47.72656993372103,0.05275343982359166,1
Bosnia and Herzegovina,15217043,525200,347646,3507017,6108.5,3.5,1.89,4.339027441269888,0.14975690166315134,0.0991286897098018,43.771661402691244,0.034513932831759755,1
Bulgaria,24138615,879686,1707817,7075991,9828.1,7.45,4.0,3.4113405457977546,0.12431983025416511,0.24135375525491765,14.134192949244563,0.03644310164439841,0
Canada,93216440,3568237,18883561,36708083,46194.7,2.5,2.54,2.539398202842682,0.0972057571080462,0.5144251471807993,4.936380378679636,0.038279052493315556,0
Cape Verde,2033114,20055,121703,546388,3603.8,2.1,0.79,3.7210077820157106,0.03670468604727776,0.22274098259844652,16.705537250519708,0.009864178791745077,0
Chile,134863444,3492618,9288048,18054726,14896.5,2.11,1.03,7.469703168023708,0.19344619242629327,0.5144386018375465,14.520106269907304,0.0258974403768007,4
